2706066618	0	341	None	
2706066619	200	237	None	
2706066620	47	61	None	
2706066621	230	259	Metabolism	
2706066622	595	685	None	
2706066623	160	170	None	
2706066624	249	271	None	
2706066625	174	194	Metabolism	
2706066626	0	63	None	
2706066627	314	368	None	
2706066628	107	118	None	
2706066629	0	117	None	
2706066630	260	296	Genetic Information Processing	
2706066631	254	301	Metabolism	
2706066632	642	729	Metabolism	
2706066633	193	223	None	
2706066635	0	0	None	
2706066636	364	435	None	
2706066637	233	255	None	
2706066638	38	43	None	
2706066639	333	383	None	
2706066640	313	380	None	
2706066641	340	398	None	
2706066642	83	99	None	
2706066643	259	312	Metabolism	
2706066644	583	679	None	
2706066645	186	215	None	
2706066646	118	129	Metabolism	
2706066647	158	180	None	
2706066650	185	201	None	
2706066651	76	80	None	
2706066652	395	439	None	
2706066653	162	173	Metabolism	
2706066654	92	107	None	
2706066656	219	242	Cellular Processes	
2706066657	42	46	None	
2706066658	48	54	None	
2706066659	102	109	None	
2706066660	85	103	None	
2706066661	488	550	None	
2706066662	17	20	None	
2706066663	92	104	Metabolism	
2706066664	310	320	Metabolism	
2706066665	306	333	Metabolism	
2706066666	108	126	Metabolism	
2706066667	0	329	None	
2706066668	94	98	None	
2706066669	465	518	Metabolism	
2706066671	577	634	None	
2706066672	169	185	None	
2706066673	225	235	None	
2706066674	80	94	None	
2706066675	0	0	None	
2706066676	119	131	None	
2706066677	9	9	None	
2706066678	0	41	None	
2706066679	268	300	None	
2706066680	0	361	None	
2706066681	102	114	None	
2706066682	22	22	None	
2706066683	490	536	None	
2706066684	41	46	None	
2706066685	27	28	None	
2706066686	154	169	None	
2706066687	384	440	None	
2706066688	0	341	None	
2706066689	307	340	Metabolism	
2706066690	0	151	None	
2706066691	0	348	None	
2706066692	0	262	None	
2706066693	337	364	Metabolism	
2706066694	0	1	None	
2706066695	393	450	Genetic Information Processing	
2706066696	238	261	Genetic Information Processing	
2706066697	105	123	Metabolism	
2706066698	466	519	None	
2706066699	253	323	None	
2706066700	87	99	Metabolism	
2706066701	0	9	None	
2706066702	45	46	None	
2706066703	415	451	None	
2706066704	88	97	None	
2706066705	18	19	None	
2706066706	11	12	None	
2706066707	305	362	Environmental Information Processing	
2706066708	198	219	Environmental Information Processing	
2706066709	123	137	Environmental Information Processing	
2706066710	0	59	None	
2706066711	34	36	None	
2706066712	426	471	Genetic Information Processing	
2706066713	0	581	None	
2706066715	77	101	None	
2706066717	0	3	None	
2706066718	369	410	Metabolism	
2706066719	154	179	None	
2706066720	666	737	Metabolism	
2706066721	226	248	None	
2706066722	56	62	None	
2706066723	130	143	None	
2706066724	161	180	Metabolism	
2706066725	0	400	Metabolism	
2706066726	154	180	None	
2706066727	0	89	None	
2706066728	0	290	None	
2706066729	345	386	None	
2706066730	357	414	Metabolism	
2706066731	0	0	None	
2706066732	0	0	None	
2706066733	0	0	None	
2706066734	0	0	None	
2706066735	280	323	None	
2706066736	80	96	None	
2706066737	134	216	None	
2706066740	178	183	None	
2706066741	57	73	None	
2706066742	55	58	None	
2706066743	76	88	Genetic Information Processing	
2706066744	92	98	None	
2706066745	107	116	None	
2706066746	100	112	None	
2706066747	212	238	None	
2706066749	38	38	None	
2706066750	85	91	None	
2706066752	134	148	None	
2706066753	135	155	None	
2706066754	184	206	None	
2706066755	121	122	None	
2706066756	240	270	Metabolism	
2706066757	177	194	None	
2706066758	141	160	None	
2706066759	44	50	None	
2706066760	385	411	Metabolism	
2706066761	160	194	Environmental Information Processing	
