2706068092	0	154	None	
2706068093	0	265	Metabolism	
2706068094	0	155	None	
2706068095	0	429	None	
2706068096	0	0	None	
2706068097	0	0	None	
2706068098	0	126	None	
2706068099	0	263	None	
2706068100	0	1319	None	
2706068101	61	66	None	
2706068102	66	78	Genetic Information Processing	
2706068103	45	64	None	
2706068104	232	260	Metabolism	
2706068106	388	403	Metabolism	
2706068107	86	86	None	
2706068108	53	53	None	
2706068109	719	809	Genetic Information Processing	
2706068110	0	1	None	
2706068111	69	76	None	
2706068112	54	56	None	
2706068114	335	357	Metabolism	
2706068116	376	397	Metabolism	
2706068118	236	256	Metabolism	
2706068119	654	711	Metabolism	
2706068122	249	266	None	
2706068123	0	293	Metabolism	
2706068124	124	132	None	
2706068126	280	294	None	
2706068127	144	148	Metabolism	
2706068128	158	171	Metabolism	
2706068129	445	469	None	
2706068130	265	274	Metabolism	
2706068133	156	173	None	
2706068136	190	208	None	
2706068138	162	177	None	
2706068139	181	194	None	
2706068140	118	125	None	
2706068141	30	34	None	
2706068142	181	236	None	
2706068143	231	251	None	
2706068146	57	59	None	
2706068147	0	113	Genetic Information Processing	
2706068149	55	71	None	
2706068151	185	204	None	
2706068153	89	93	None	
2706068154	0	56	None	
2706068155	219	234	Metabolism	
2706068156	0	26	None	
2706068158	385	429	Human Diseases	
2706068159	223	242	Metabolism	
2706068160	459	496	Metabolism	
2706068161	606	688	None	
2706068162	318	353	None	
2706068163	270	285	None	
2706068164	111	120	None	
2706068167	197	205	None	
2706068168	450	495	None	
2706068170	0	0	None	
2706068171	347	379	Metabolism	
2706068173	100	111	None	
2706068174	1201	1290	Genetic Information Processing	
2706068175	189	203	Metabolism	
2706068176	853	941	Genetic Information Processing	
2706068178	674	718	Metabolism	
2706068182	292	312	Metabolism	
2706068183	458	495	Metabolism	
2706068184	325	352	Metabolism	
2706068185	421	464	Metabolism	
2706068186	357	377	None	
2706068187	477	522	None	
2706068190	70	83	None	
2706068194	33	38	None	
2706068195	235	263	Metabolism	
2706068198	358	385	None	
2706068199	588	633	Metabolism	
2706068201	183	199	None	
2706068202	230	254	Metabolism	
2706068203	249	280	Metabolism	
2706068206	706	761	Metabolism	
2706068207	522	554	Metabolism	
2706068208	340	352	Metabolism	
2706068210	148	160	None	
2706068211	379	415	None	
2706068212	286	313	None	
2706068213	0	4	None	
2706068214	542	592	Metabolism	
2706068215	181	200	None	
2706068216	250	273	None	
2706068217	76	76	Metabolism	
2706068218	73	74	Metabolism	
2706068220	210	223	Metabolism	
2706068221	0	0	None	
2706068222	0	191	None	
2706068223	0	378	None	
2706068224	0	283	None	
2706068225	464	511	None	
2706068226	435	488	None	
2706068227	274	304	Metabolism	
2706068228	0	220	None	
2706068229	622	692	None	
2706068230	356	373	None	
2706068231	0	6	None	
2706068232	109	118	None	
2706068233	0	104	None	
2706068235	74	83	None	
2706068236	206	212	None	
2706068237	431	468	Metabolism	
2706068239	210	228	None	
2706068240	0	1380	Metabolism	
2706068241	819	864	Metabolism	
2706068242	722	764	Metabolism	
2706068244	121	137	None	
2706068245	58	66	None	
2706068246	0	254	None	
2706068247	553	606	Metabolism	
2706068249	177	193	None	
2706068251	192	206	Metabolism	
2706068252	389	427	Metabolism	
2706068253	0	180	None	
2706068254	139	156	None	
2706068255	52	57	None	
2706068257	240	255	None	
2706068259	336	366	Genetic Information Processing	
2706068260	295	310	None	
2706068261	218	232	None	
2706068262	629	662	None	
